거래금액,전용면적,년,면적 당 금액
"19,200",60.24,202106,318.73
"59,000",84.99,202106,694.2
"59,000",84.99,202106,694.2
"80,000",122.58,202106,652.64
"59,700",84.99,202106,702.44
"63,500",84.59,202106,750.68
"84,000",84.993,202106,988.32
"60,000",84.51,202106,709.98
"86,800",84.993,202106,1021.26
"32,500",62.91,202106,516.61
"58,500",84.99,202106,688.32
"43,500",54.15,202106,803.32
"75,000",122.58,202106,611.85
"61,000",63.78,202106,956.41
"68,500",84.93,202106,806.55
"56,500",59.94,202106,942.61
"69,300",59.758,202107,1159.68
"80,000",84.873,202107,942.58
"64,500",59.67,202107,1080.95
"92,500",114.922,202107,804.89
"69,500",59.758,202107,1163.02
"78,000",84.552,202107,922.51
"64,900",59.67,202107,1087.65
"82,000",84.9134,202107,965.69
"110,000",84.36,202107,1303.94
"72,800",59.98,202107,1213.74
"20,800",84.84,202107,245.17
"69,500",84.91,202107,818.51
"69,900",59.98,202107,1165.39
"65,900",60,202107,1098.33
"72,400",59.758,202107,1211.55
"85,000",114.85,202107,740.1
"84,700",59.33,202107,1427.61
"75,000",84.71,202107,885.37
"78,000",84.86,202107,919.16
"73,500",84.71,202107,867.67
"70,000",59.758,202107,1171.39
"78,000",84.86,202107,919.16
"101,000",84.95,202107,1188.93
"87,000",59.38,202107,1465.14
"101,500",114.88,202107,883.53
"75,500",84.89,202107,889.39
"71,500",59.98,202107,1192.06
"53,000",68.675,202107,771.75
"73,000",59.758,202107,1221.59
"97,500",59.818,202107,1629.94
"48,950",59.42,202107,823.8
"77,900",84.76,202107,919.07
"71,500",59.98,202107,1192.06
"71,000",59.98,202107,1183.73
"77,000",84.76,202107,908.45
"107,000",84.98,202107,1259.12
"81,500",84.705,202107,962.16
"73,000",68.303,202107,1068.77
"70,000",59.98,202107,1167.06
"93,000",84.97,202107,1094.5
"83,000",84.86,202107,978.08
"80,600",84.76,202107,950.92
"50,000",59.42,202107,841.47
"89,000",59.38,202107,1498.82
"89,000",59.38,202107,1498.82
"70,000",59.98,202107,1167.06
"94,500",84.99,202107,1111.9
"81,800",84.552,202107,967.45
"79,500",84.89,202107,936.51
"80,500",84.89,202107,948.29
"67,500",60,202107,1125
"78,000",84.76,202107,920.25
"93,800",59.36,202107,1580.19
"106,500",84.98,202107,1253.24
"79,500",59.54,202107,1335.24
"81,700",59.99,202107,1361.89
